Epoch_ID,Time,Satellite,C1C_m
35,2024-11-14 08:57:52,G04,21284981.727
35,2024-11-14 08:57:52,G07,21144169.113
35,2024-11-14 08:57:52,G08,23576743.949
35,2024-11-14 08:57:52,G09,20148085.785
35,2024-11-14 08:57:52,G16,23385551.391
35,2024-11-14 08:57:52,G20,23687811.758
35,2024-11-14 08:57:52,G30,22566163.262
36,2024-11-14 08:57:53,G04,21285294.961
36,2024-11-14 08:57:53,G07,21144091.852
36,2024-11-14 08:57:53,G08,23576298.656
36,2024-11-14 08:57:53,G09,20148093.375
36,2024-11-14 08:57:53,G16,23386167.695
36,2024-11-14 08:57:53,G20,23687374.477
36,2024-11-14 08:57:53,G30,22565789.801
37,2024-11-14 08:57:54,G04,21285608.316
37,2024-11-14 08:57:54,G07,21144014.707
37,2024-11-14 08:57:54,G08,23575853.051
37,2024-11-14 08:57:54,G09,20148101.516
37,2024-11-14 08:57:54,G16,23386784.121
37,2024-11-14 08:57:54,G20,23686937.168
37,2024-11-14 08:57:54,G30,22565416.312
38,2024-11-14 08:57:55,G04,21285921.512
38,2024-11-14 08:57:55,G07,21143937.266
38,2024-11-14 08:57:55,G08,23575407.574
38,2024-11-14 08:57:55,G09,20148109.355
38,2024-11-14 08:57:55,G16,23387400.531
38,2024-11-14 08:57:55,G20,23686499.277
38,2024-11-14 08:57:55,G30,22565042.668
39,2024-11-14 08:57:56,G04,21286234.98
39,2024-11-14 08:57:56,G07,21143860.094
39,2024-11-14 08:57:56,G08,23574961.656
39,2024-11-14 08:57:56,G09,20148117.609
39,2024-11-14 08:57:56,G16,23388017.211
39,2024-11-14 08:57:56,G20,23686062.086
39,2024-11-14 08:57:56,G30,22564669.152
40,2024-11-14 08:57:57,G04,21286548.438
40,2024-11-14 08:57:57,G07,21143783.055
40,2024-11-14 08:57:57,G08,23574516.297
40,2024-11-14 08:57:57,G09,20148125.422
40,2024-11-14 08:57:57,G16,23388633.594
40,2024-11-14 08:57:57,G20,23685624.883
40,2024-11-14 08:57:57,G30,22564295.195
41,2024-11-14 08:57:58,G04,21286862.027
41,2024-11-14 08:57:58,G07,21143706.141
41,2024-11-14 08:57:58,G08,23574071.066
41,2024-11-14 08:57:58,G09,20148133.648
41,2024-11-14 08:57:58,G16,23389250.535
41,2024-11-14 08:57:58,G20,23685186.809
41,2024-11-14 08:57:58,G30,22563921.941
42,2024-11-14 08:57:59,G04,21287175.738
42,2024-11-14 08:57:59,G07,21143628.926
42,2024-11-14 08:57:59,G08,23573625.531
42,2024-11-14 08:57:59,G09,20148142.004
42,2024-11-14 08:57:59,G16,23389867.031
42,2024-11-14 08:57:59,G20,23684749.859
42,2024-11-14 08:57:59,G30,22563548.672
43,2024-11-14 08:58:00,G04,21287489.422
43,2024-11-14 08:58:00,G07,21143552.113
43,2024-11-14 08:58:00,G08,23573180.402
43,2024-11-14 08:58:00,G09,20148150.473
43,2024-11-14 08:58:00,G16,23390484.355
43,2024-11-14 08:58:00,G20,23684312.742
43,2024-11-14 08:58:00,G30,22563175.227
44,2024-11-14 08:58:01,G04,21287802.957
44,2024-11-14 08:58:01,G07,21143475.293
44,2024-11-14 08:58:01,G08,23572735.402
44,2024-11-14 08:58:01,G09,20148159.078
44,2024-11-14 08:58:01,G16,23391100.957
44,2024-11-14 08:58:01,G20,23683875.473
44,2024-11-14 08:58:01,G30,22562801.348
45,2024-11-14 08:58:02,G04,21288117.043
45,2024-11-14 08:58:02,G07,21143398.164
45,2024-11-14 08:58:02,G08,23572290.242
45,2024-11-14 08:58:02,G09,20148167.66
45,2024-11-14 08:58:02,G16,23391718.109
45,2024-11-14 08:58:02,G20,23683438.469
45,2024-11-14 08:58:02,G30,22562428.16
46,2024-11-14 08:58:03,G04,21288430.539
46,2024-11-14 08:58:03,G07,21143321.164
46,2024-11-14 08:58:03,G08,23571845.352
46,2024-11-14 08:58:03,G09,20148176.23
46,2024-11-14 08:58:03,G16,23392335.391
46,2024-11-14 08:58:03,G20,23683001.875
46,2024-11-14 08:58:03,G30,22562054.961
47,2024-11-14 08:58:04,G04,21288744.598
47,2024-11-14 08:58:04,G07,21143244.438
47,2024-11-14 08:58:04,G08,23571399.879
47,2024-11-14 08:58:04,G09,20148184.93
47,2024-11-14 08:58:04,G16,23392952.234
47,2024-11-14 08:58:04,G20,23682565.133
47,2024-11-14 08:58:04,G30,22561681.32
48,2024-11-14 08:58:05,G04,21289058.785
48,2024-11-14 08:58:05,G07,21143167.699
48,2024-11-14 08:58:05,G08,23570955.25
48,2024-11-14 08:58:05,G09,20148193.617
48,2024-11-14 08:58:05,G16,23393569.773
48,2024-11-14 08:58:05,G20,23682127.941
48,2024-11-14 08:58:05,G30,22561308.379
49,2024-11-14 08:58:06,G04,21289372.793
49,2024-11-14 08:58:06,G07,21143090.781
49,2024-11-14 08:58:06,G08,23570509.73
49,2024-11-14 08:58:06,G09,20148202.41
49,2024-11-14 08:58:06,G16,23394186.996
49,2024-11-14 08:58:06,G20,23681691.723
49,2024-11-14 08:58:06,G30,22560935.121
50,2024-11-14 08:58:07,G04,21289687.07
50,2024-11-14 08:58:07,G07,21143014.133
50,2024-11-14 08:58:07,G08,23570064.902
50,2024-11-14 08:58:07,G09,20148211.328
50,2024-11-14 08:58:07,G16,23394804.484
50,2024-11-14 08:58:07,G20,23681254.766
50,2024-11-14 08:58:07,G30,22560561.984
51,2024-11-14 08:58:08,G04,21290001.348
51,2024-11-14 08:58:08,G07,21142937.625
51,2024-11-14 08:58:08,G08,23569620.508
51,2024-11-14 08:58:08,G09,20148220.391
51,2024-11-14 08:58:08,G16,23395421.832
51,2024-11-14 08:58:08,G20,23680818.672
51,2024-11-14 08:58:08,G30,22560189.133
52,2024-11-14 08:58:09,G04,21290315.469
52,2024-11-14 08:58:09,G07,21142860.957
52,2024-11-14 08:58:09,G08,23569175.523
52,2024-11-14 08:58:09,G09,20148229.438
52,2024-11-14 08:58:09,G16,23396039.449
52,2024-11-14 08:58:09,G20,23680382.129
52,2024-11-14 08:58:09,G30,22559815.551
53,2024-11-14 08:58:10,G04,21290629.992
53,2024-11-14 08:58:10,G07,21142784.129
53,2024-11-14 08:58:10,G08,23568730.516
53,2024-11-14 08:58:10,G09,20148238.605
53,2024-11-14 08:58:10,G16,23396657.043
53,2024-11-14 08:58:10,G20,23679945.996
53,2024-11-14 08:58:10,G30,22559442.949
54,2024-11-14 08:58:11,G04,21290944.355
54,2024-11-14 08:58:11,G07,21142707.707
54,2024-11-14 08:58:11,G08,23568286.062
54,2024-11-14 08:58:11,G09,20148247.898
54,2024-11-14 08:58:11,G16,23397274.617
54,2024-11-14 08:58:11,G20,23679509.555
54,2024-11-14 08:58:11,G30,22559069.758
55,2024-11-14 08:58:12,G04,21291259.125
55,2024-11-14 08:58:12,G07,21142631.266
55,2024-11-14 08:58:12,G08,23567841.73
55,2024-11-14 08:58:12,G09,20148257.309
55,2024-11-14 08:58:12,G16,23397892.602
55,2024-11-14 08:58:12,G20,23679073.52
55,2024-11-14 08:58:12,G30,22558696.828
56,2024-11-14 08:58:13,G04,21291573.441
56,2024-11-14 08:58:13,G07,21142554.512
56,2024-11-14 08:58:13,G08,23567396.945
56,2024-11-14 08:58:13,G09,20148266.555
56,2024-11-14 08:58:13,G16,23398510.129
56,2024-11-14 08:58:13,G20,23678637.176
56,2024-11-14 08:58:13,G30,22558323.73
57,2024-11-14 08:58:14,G04,21291888.227
57,2024-11-14 08:58:14,G07,21142478.367
57,2024-11-14 08:58:14,G08,23566952.914
57,2024-11-14 08:58:14,G09,20148275.98
57,2024-11-14 08:58:14,G16,23399128.125
57,2024-11-14 08:58:14,G20,23678201.586
57,2024-11-14 08:58:14,G30,22557950.812
58,2024-11-14 08:58:15,G04,21292202.668
58,2024-11-14 08:58:15,G07,21142402.023
58,2024-11-14 08:58:15,G08,23566508.105
58,2024-11-14 08:58:15,G09,20148285.492
58,2024-11-14 08:58:15,G16,23399745.777
58,2024-11-14 08:58:15,G20,23677765.797
58,2024-11-14 08:58:15,G30,22557578.125
59,2024-11-14 08:58:16,G04,21292517.391
59,2024-11-14 08:58:16,G07,21142325.816
59,2024-11-14 08:58:16,G08,23566063.441
